Code,Name,Country,Exchange,Currency,Type,Isin
A,Agilent Technologies Inc,USA,NYSE,USD,Common Stock,US00846U1016
AA,Alcoa Corp,USA,NYSE,USD,Common Stock,US0138721065
AAA,Listed Funds Trust - AAF First Priority CLO Bond ETF,USA,NYSE ARCA,USD,ETF,US53656F6566
AAC,AAC Holdings Inc,USA,NYSE,USD,Common Stock,KYG330321061
AAC-WT,Ares Acquisition Corporation Re,USA,NYSE,USD,Common Stock,
AACT,Ares Acquisition Corporation II,USA,NYSE,USD,Common Stock,
AAIC,Arlington Asset Investment Corp,USA,NYSE,USD,Common Stock,US0413562051
AAIC-P-B,AAIC-P-B,USA,NYSE,USD,Preferred Stock,
AAIC-P-C,AAIC-P-C,USA,NYSE,USD,Preferred Stock,
AAIC-PB,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
AAIC-PC,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
AAIN,AAIN,USA,NYSE,USD,Common Stock,
AAMC,Altisource Asset Management Corp,USA,NYSE MKT,USD,Common Stock,VI02153X1080
AAN,The Aaron's Company Inc.,USA,NYSE,USD,Common Stock,US00258W1080
AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064
AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047
AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
AB,AllianceBernstein Holding L.P. ,USA,NYSE,USD,Common Stock,US01881G1067
ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091
ABEQ,Absolute Core Strategy ETF,USA,NYSE ARCA,USD,ETF,US90470L5681
ABEV,Ambev SA ADR,USA,NYSE,USD,Common Stock,US02319V1035
ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046
ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock,US0009571003
ABR,Arbor Realty Trust,USA,NYSE,USD,Common Stock,US0389231087
ABR-PD,Arbor Realty Trust Inc | 6.375% Series D Cumulative,USA,NYSE,USD,Preferred Stock,
ABR-PE,Arbor Realty Trust Inc | 6.25% Series E Cumulative,USA,NYSE,USD,Preferred Stock,
ABR-PF,Arbor Realty Trust Inc | 6.25% Series F Cumulative,USA,NYSE,USD,Preferred Stock,
ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock,US0028241000
AC,Associated Capital Group Inc,USA,NYSE,USD,Common Stock,US0455281065
ACA,Arcosa Inc,USA,NYSE,USD,Common Stock,US0396531008
ACAQ,Athena Consumer Acquisition Corp,USA,NYSE MKT,USD,Common Stock,US04684M1062
ACAQ-WT,Athena Consumer Acquisition Corp.,USA,NYSE,USD,Common Stock,
ACCO,Acco Brands Corporation,USA,NYSE,USD,Common Stock,US00081T1088
ACEL,Accel Entertainment Inc,USA,NYSE,USD,Common Stock,US00436Q1067
ACES,ALPS Clean Energy,USA,NYSE ARCA,USD,ETF,US00162Q4608
ACHR,Archer Aviation Inc,USA,NYSE,USD,Common Stock,US03945R1023
ACI,Albertsons Companies,USA,NYSE,USD,Common Stock,US0130911037
ACM,Aecom Technology Corporation,USA,NYSE,USD,Common Stock,US00766T1007
ACN,Accenture plc,USA,NYSE,USD,Common Stock,IE00B4BNMY34
ACP,Aberdeen Income Credit Strategies Fund,USA,NYSE,USD,FUND,US0030571063
ACP-PA,Aberdeen Income Credit Strategies Fund,USA,NYSE,USD,Preferred Stock,
ACR,Acres Commercial Realty Corp,USA,NYSE,USD,Common Stock,US00489Q1022
ACR-PC,ACRES Commercial Realty Corp,USA,NYSE,USD,Preferred Stock,
ACR-PD,ACRES Commercial Realty Corp.,USA,NYSE,USD,Preferred Stock,
ACRE,Ares Commercial Real Estate,USA,NYSE,USD,Common Stock,US04013V1089
ACRO,Acropolis Infrastructure Acquisition Corp,USA,NYSE,USD,Common Stock,US0050291030
ACRO-WT,Acropolis Infrastructure Acquisition Corp.,USA,NYSE,USD,Common Stock,
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,USA,NYSE ARCA,USD,ETF,
ACTV,LeaderShares® Activist Leaders® ETF,USA,NYSE ARCA,USD,ETF,US90214Q7170
ACU,Acme United Corporation,USA,NYSE MKT,USD,Common Stock,US0048161048
ACV,AllianzGI Diversified Income & Convertible Fund,USA,NYSE,USD,FUND,US92840N1000
ACVF,ETF Opportunities Trust - American Conservative Values ETF,USA,NYSE ARCA,USD,ETF,US26923N1081
ACWF,iShares MSCI Global Multifactor ETF,USA,NYSE ARCA,USD,ETF,US46434V3160
ADC,Agree Realty Corporation,USA,NYSE,USD,Common Stock,US0084921008
ADCT,ADC Therapeutics SA,USA,NYSE,USD,Common Stock,CH0499880968
ADEX,Adit EdTech Acquisition Cor,USA,NYSE MKT,USD,Common Stock,US0070241023
ADEX-WT,Adit EdTech Acquisition Corp.,USA,NYSE,USD,Common Stock,
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,USA,NYSE ARCA,USD,ETF,US4020318436
